"Equipo","Pts.","PJ","PG","PE","PP","GF","GC","liga"
"1Barcelona","48","19","15","3","1","51","17",2018
"2Atlético","48","19","15","3","1","32","10",2018
"3RealMadrid","40","19","13","1","5","32","15",2018
"4Valencia","31","19","7","10","2","24","12",2018
"5Getafe","36","19","11","3","5","28","13",2018
"6Sevilla","39","19","12","3","4","39","20",2018
"7Espanyol2","36","19","11","3","5","28","22",2018
"8Athletic1","35","19","9","8","2","26","19",2018
"9R.Sociedad1","27","19","7","6","6","23","20",2018
"10Betis","29","19","8","5","6","25","26",2018
"11Alavés","29","19","7","8","4","19","19",2018
"12Eibar","33","19","9","6","4","31","21",2018
"13Leganés","29","19","7","8","4","19","16",2018
"14Villarreal","23","19","5","8","6","28","26",2018
"15Levante","25","19","6","7","6","34","34",2018
"16RealValladolid","20","19","5","5","9","16","26",2018
"17Celta","29","19","8","5","6","31","25",2018
"18Girona","15","19","3","6","10","17","28",2018
"19Huesca1","21","19","5","6","8","24","30",2018
"20Rayo1","21","19","5","6","8","25","32",2018
"1RealMadrid","49","19","15","4","0","40","11",2019
"2Barcelona","50","19","16","2","1","52","16",2019
"3Atlético","42","19","12","6","1","28","11",2019
"4Sevilla","37","19","10","7","2","26","14",2019
"5Villarreal","32","19","9","5","5","37","25",2019
"6R.Sociedad","31","19","9","4","6","33","20",2019
"7Granada2","33","19","10","3","6","26","16",2019
"8Getafe1","30","19","8","6","5","25","20",2019
"9Valencia1","40","19","11","7","1","29","16",2019
"10Osasuna1","28","19","7","7","5","26","29",2019
"11Athletic1","31","19","9","4","6","21","14",2019
"12Levante","32","19","9","5","5","27","19",2019
"13RealValladolid3","25","19","5","10","4","18","15",2019
"14Eibar1","27","19","8","3","8","25","25",2019
"15Betis1","31","19","9","4","6","34","27",2019
"16Alavés1","27","19","7","6","6","20","19",2019
"17Celta","23","19","5","8","6","22","20",2019
"18Leganés","20","19","5","5","9","17","26",2019
"19Mallorca","27","19","8","3","8","25","22",2019
"20Espanyol","12","19","2","6","11","15","31",2019
"1Atlético","48","19","15","3","1","41","11",2020
"2RealMadrid","42","19","13","3","3","33","13",2020
"3Barcelona","38","19","11","5","3","44","20",2020
"4Sevilla","43","19","14","1","4","27","11",2020
"5R.Sociedad","33","19","9","6","4","34","21",2020
"6Betis","35","19","10","5","4","27","21",2020
"7Villarreal","30","19","8","6","5","29","23",2020
"8Celta","30","19","9","3","7","30","30",2020
"9Granada1","31","19","9","4","6","25","25",2020
"10Athletic1","30","19","8","6","5","29","19",2020
"11Osasuna","26","19","7","5","7","21","23",2020
"12Cádiz","20","19","5","5","9","17","30",2020
"13Valencia","31","19","8","7","4","34","23",2020
"14Levante","24","19","5","9","5","27","30",2020
"15Getafe1","24","19","6","6","7","15","13",2020
"16Alavés1","24","19","6","6","7","21","25",2020
"17Elche1","23","19","5","8","6","18","23",2020
"18Huesca1","22","19","5","7","7","17","21",2020
"19RealValladolid","16","19","3","7","9","19","30",2020
"20Eibar","13","19","2","7","10","12","21",2020
"1RealMadrid","44","19","13","5","1","44","13",2021
"2Barcelona","38","19","12","2","5","37","19",2021
"3Atlético","41","19","12","5","2","33","16",2021
"4Sevilla","42","19","12","6","1","36","17",2021
"5Betis","32","19","10","2","7","34","22",2021
"6R.Sociedad","35","19","10","5","4","16","9",2021
"7Villarreal","36","19","10","6","3","40","18",2021
"8Athletic","34","19","10","4","5","29","18",2021
"9Valencia2","26","19","6","8","5","26","24",2021
"10Osasuna1","22","19","5","7","7","17","26",2021
"11Celta1","25","19","7","4","8","26","23",2021
"12Rayo","29","19","8","5","6","26","22",2021
"13Elche2","27","19","7","6","6","24","21",2021
"14Espanyol1","33","19","9","6","4","25","19",2021
"15Getafe1","28","19","7","7","5","21","15",2021
"16Mallorca1","27","19","7","6","6","20","25",2021
"17Cádiz1","18","19","3","9","7","19","24",2021
"18Granada2","22","19","5","7","7","22","29",2021
"19Levante","22","19","5","7","7","28","30",2021
"20Alavés","25","19","7","4","8","17","21",2021
"1Barcelona","48","19","15","3","1","37","4",2022
"2RealMadrid","44","19","13","5","1","44","16",2022
"3Atlético","42","19","13","3","3","41","15",2022
"4R.Sociedad","38","19","11","5","3","26","16",2022
"5Villarreal","39","19","12","3","4","36","18",2022
"6Betis","32","19","9","5","5","26","18",2022
"7Osasuna","34","19","11","1","7","24","21",2022
"8Athletic","27","19","8","3","8","22","15",2022
"9Mallorca3","35","19","10","5","4","22","12",2022
"10Girona1","33","19","10","3","6","35","26",2022
"11Rayo1","32","19","9","5","5","28","22",2022
"12Sevilla1","26","19","7","5","7","24","25",2022
"13Celta4","27","19","7","6","6","26","21",2022
"14Cádiz1","27","19","7","6","6","19","23",2022
"15Getafe1","27","19","7","6","6","21","20",2022
"16Valencia1","29","19","8","5","6","27","19",2022
"17Almería1","33","19","10","3","6","29","22",2022
"18RealValladolid","28","19","8","4","7","21","25",2022
"19Espanyol","19","19","4","7","8","27","35",2022
"20Elche","15","19","3","6","10","18","29",2022
